Edad,Experiencia_Anios,Horas_Trabajo_Semanal,Nivel_Educacion,Num_Proyectos,Certificaciones,Genero,Ciudad,Salario
56,0,37.3,3,12,8,F,Medellín,7985.65
69,9,32.9,2,12,5,M,Medellín,8163.18
46,35,49.3,2,23,3,M,Cali,10424.51
32,8,42.6,4,23,4,F,Cali,9633.28
60,31,28.5,2,13,6,M,Cali,9049.57
25,31,45.5,2,11,9,F,Cali,8822.72
38,5,43.9,2,20,3,M,Barranquilla,6474.52
56,37,37.4,3,12,7,F,Bogotá,10734.98
36,16,53.0,2,17,2,M,Bogotá,7030.34
40,9,35.1,4,12,1,M,Barranquilla,8548.53
28,26,38.6,1,3,0,M,Barranquilla,5374.25
28,34,46.1,2,22,5,F,Cali,8676.29
41,20,40.6,3,21,1,M,Medellín,8045.66
53,24,28.9,2,9,7,F,Bogotá,8766.53
57,27,41.5,3,22,9,M,Barranquilla,12169.38
41,14,36.7,2,4,3,M,Medellín,6558.64
20,3,46.9,1,17,8,F,Cali,6425.63
39,28,41.2,1,7,3,F,Barranquilla,6816.02
19,8,40.8,4,13,3,F,Bogotá,6836.33
41,26,31.6,3,1,7,M,Bogotá,8552.31
61,25,38.2,4,7,7,F,Bogotá,9931.04
47,18,47.8,2,15,4,F,Barranquilla,8074.08
55,27,33.8,3,6,2,F,Bogotá,7634.43
19,16,39.7,3,2,1,M,Cali,5372.15
38,19,32.5,4,3,8,F,Bogotá,8424.29
50,39,30.5,3,6,8,F,Cali,11220.16
29,38,39.3,3,3,4,M,Bogotá,8663.78
39,22,41.4,1,8,7,F,Cali,7446.72
61,31,56.0,3,22,6,M,Barranquilla,11353.37
42,32,36.4,3,16,2,F,Cali,10837.52
66,4,39.6,4,16,4,F,Barranquilla,9443.78
44,33,30.0,2,19,8,F,Medellín,11352.97
59,39,44.9,2,13,3,F,Cali,10526.41
45,10,43.2,2,13,2,M,Barranquilla,6993.05
33,2,51.9,2,24,6,M,Medellín,9301.73
32,32,48.9,1,12,7,M,Bogotá,7759.25
64,10,42.8,4,3,4,M,Medellín,8942.75
68,15,36.2,3,12,7,M,Cali,9876.71
61,17,41.6,4,20,4,M,Medellín,10597.72
69,29,39.1,4,16,8,F,Bogotá,11045.91
20,9,47.6,2,14,6,F,Medellín,8058.77
54,17,46.6,3,17,4,F,Cali,10165.04
68,37,37.6,1,10,8,M,Cali,9460.47
24,18,28.3,4,3,4,F,Barranquilla,6585.32
38,35,50.7,2,19,7,M,Bogotá,9863.61
26,12,44.7,2,10,3,M,Bogotá,7018.89
56,2,37.4,2,9,8,F,Medellín,7222.47
35,9,44.3,3,21,5,F,Bogotá,10477.49
21,37,40.6,2,12,5,M,Cali,7806.73
42,0,50.5,2,21,2,M,Medellín,6531.0
31,26,24.6,4,7,2,M,Barranquilla,7973.62
67,7,36.8,4,12,3,F,Medellín,8859.01
26,16,52.8,2,8,0,M,Medellín,6677.8
43,8,44.5,3,0,5,M,Barranquilla,6450.1
19,5,54.2,4,0,0,F,Medellín,5469.91
37,24,30.2,1,14,3,M,Bogotá,7672.75
45,38,48.6,4,21,6,F,Medellín,12953.49
64,27,48.1,2,3,5,M,Medellín,7896.5
24,32,26.5,3,19,7,F,Medellín,9883.11
61,36,37.6,3,0,3,M,Cali,9120.55
25,8,39.1,3,24,8,F,Cali,10589.37
64,17,27.0,4,11,9,M,Bogotá,9477.6
52,20,37.8,1,10,7,M,Barranquilla,8259.95
31,1,47.0,2,18,4,F,Cali,6717.26
34,37,36.9,3,14,5,F,Cali,10487.31
53,39,41.9,4,20,4,M,Bogotá,10460.48
67,35,42.0,2,9,5,M,Bogotá,9408.42
57,36,39.9,4,0,0,M,Barranquilla,7944.13
21,14,34.4,2,23,3,M,Medellín,7747.12
19,27,45.3,2,2,8,M,Medellín,5623.39
23,17,27.3,4,13,3,M,Barranquilla,9624.06
59,33,40.1,1,14,1,M,Barranquilla,6601.14
21,21,51.1,3,0,5,F,Barranquilla,7352.47
46,10,36.4,1,9,1,M,Bogotá,4740.86
35,12,34.2,2,21,2,F,Medellín,6772.23
43,3,45.8,3,0,6,M,Barranquilla,6312.42
61,21,41.3,3,14,3,M,Barranquilla,9657.5
51,6,46.0,2,2,0,F,Medellín,4324.62
27,23,40.3,2,20,8,M,Medellín,8733.06
53,3,20.9,2,19,5,F,Bogotá,6622.58
31,27,49.4,3,22,8,M,Cali,11087.77
48,14,56.6,5,21,2,M,Cali,9251.24
65,0,50.3,4,11,4,M,Bogotá,9030.47
32,2,11.7,1,18,8,M,Bogotá,5972.47
25,13,43.6,1,15,5,F,Medellín,7552.44
31,37,36.3,4,7,1,F,Bogotá,10055.24
40,0,31.3,3,23,0,F,Bogotá,7284.56
57,37,41.0,3,13,8,M,Barranquilla,9727.71
38,37,38.8,4,17,0,F,Bogotá,10352.05
33,20,44.1,2,22,4,M,Bogotá,8829.45
62,28,40.5,3,0,0,F,Barranquilla,7364.19
35,4,31.0,5,1,4,M,Medellín,7848.84
64,9,35.4,3,23,4,F,Medellín,9452.26
41,27,34.1,2,11,6,F,Bogotá,9127.25
43,20,26.3,1,16,6,F,Bogotá,7659.86
42,6,29.0,2,1,9,F,Cali,6160.51
62,2,38.3,4,16,0,M,Barranquilla,8603.05
58,19,51.4,2,20,8,F,Cali,10350.06
46,18,35.7,1,6,0,F,Bogotá,6073.87
32,34,33.9,4,5,4,F,Cali,9729.39
62,3,30.5,2,5,6,F,Cali,7851.66
18,4,40.2,1,21,7,M,Medellín,6368.34
42,0,49.4,2,7,1,M,Barranquilla,4937.75
24,3,56.0,2,4,0,M,Medellín,5826.46
26,11,42.3,2,14,3,F,Medellín,8538.5
41,26,41.1,4,6,3,F,Cali,8331.94
18,22,35.7,4,2,9,M,Barranquilla,8502.57
61,24,37.0,3,24,5,M,Bogotá,11160.95
25,20,45.0,2,9,0,M,Barranquilla,6667.43
41,23,37.5,3,2,0,M,Medellín,6865.57
28,24,38.7,2,13,2,M,Cali,8752.39
68,31,39.8,1,21,4,F,Bogotá,8656.41
34,31,35.3,4,2,5,F,Medellín,8075.3
25,4,39.4,2,0,4,M,Cali,5346.99
52,35,23.8,2,0,4,F,Medellín,7360.02
52,38,44.4,3,18,8,F,Cali,11995.18
50,15,58.8,3,3,1,M,Barranquilla,7761.26
22,32,35.6,1,1,0,M,Medellín,7044.1
59,20,43.0,1,24,5,M,Barranquilla,9821.96
56,8,46.8,2,10,8,M,Barranquilla,9233.6
58,5,50.2,3,23,6,F,Cali,9676.49
45,34,37.9,2,11,7,F,Bogotá,9390.67
24,38,25.6,2,12,4,F,Barranquilla,7529.51
26,21,42.1,3,15,9,F,Medellín,8758.87
25,4,41.0,4,15,3,M,Medellín,7463.77
29,22,37.2,2,18,5,F,Cali,8723.52
51,16,38.9,1,22,2,M,Barranquilla,8362.05
50,11,41.1,3,19,0,F,Bogotá,9495.69
65,22,42.9,3,20,3,F,Bogotá,10629.4
40,15,42.6,1,19,8,M,Medellín,9362.57
41,2,38.3,2,8,3,M,Cali,7281.88
54,29,43.1,1,15,0,M,Barranquilla,7831.34
52,21,37.7,1,6,3,F,Medellín,6458.37
61,8,45.1,3,12,6,M,Cali,9459.46
57,28,35.0,2,3,2,F,Bogotá,7838.67
39,36,40.6,4,12,9,F,Medellín,11168.52
44,22,27.0,3,7,5,M,Cali,8056.55
52,12,37.0,3,1,0,F,Bogotá,5797.42
18,31,44.5,2,6,3,M,Cali,7336.7
52,22,31.7,3,10,2,M,Medellín,8133.27
54,16,37.4,1,16,0,F,Barranquilla,6873.04
64,39,20.8,4,23,2,F,Cali,12136.33
31,20,29.1,5,13,3,F,Barranquilla,9568.73
20,1,31.1,2,12,4,M,Medellín,5334.75
18,36,40.8,1,14,5,M,Bogotá,9344.1
22,5,42.7,1,21,1,M,Cali,5293.4
43,17,39.6,3,20,1,F,Bogotá,9032.01
31,29,36.9,3,24,5,M,Barranquilla,10971.5
56,21,37.0,4,8,4,F,Barranquilla,8828.02
44,32,45.7,4,2,0,M,Bogotá,8131.41
26,29,41.7,2,24,2,M,Medellín,9188.72
32,16,37.3,3,12,4,F,Barranquilla,7473.38
32,31,50.3,3,12,1,F,Medellín,8674.9
43,13,55.6,3,8,0,F,Bogotá,6471.96
59,9,30.0,3,17,8,M,Medellín,10196.63
30,35,44.2,3,4,4,F,Barranquilla,6810.97
68,33,64.7,3,10,1,F,Bogotá,9602.84
49,8,42.2,3,1,9,F,Medellín,5897.39
56,27,40.9,3,16,3,F,Medellín,8842.42
66,10,39.6,3,22,2,M,Cali,8622.55
69,13,43.9,3,19,6,M,Barranquilla,10975.17
49,38,46.0,3,20,0,F,Cali,11277.94
21,18,30.0,3,3,9,F,Medellín,7633.15
47,14,39.8,2,21,3,M,Barranquilla,8563.09
54,27,21.8,2,17,6,F,Bogotá,10406.99
40,23,38.3,1,23,9,F,Bogotá,10879.58
56,7,32.8,3,19,4,F,Bogotá,8072.16
62,8,42.7,3,7,3,M,Medellín,7808.71
32,32,26.7,5,18,3,M,Medellín,9755.34
60,32,35.9,2,11,1,M,Bogotá,8306.93
46,18,47.7,2,10,7,F,Cali,8880.86
53,2,34.6,2,15,3,F,Cali,6377.84
30,9,24.8,1,4,1,F,Barranquilla,4238.01
49,39,42.1,4,2,8,M,Barranquilla,8989.51
24,0,35.3,2,11,9,M,Bogotá,7110.16
68,28,38.5,3,14,6,F,Medellín,9691.45
39,33,34.2,3,15,2,F,Medellín,8671.09
45,12,55.8,3,12,6,F,Barranquilla,9646.19
19,0,27.5,4,6,0,F,Bogotá,4557.63
59,33,62.7,2,14,0,F,Barranquilla,9837.49
62,28,36.9,2,2,3,M,Cali,8562.88
23,12,41.5,4,11,3,M,Bogotá,8311.34
45,28,35.4,4,7,3,M,Bogotá,8636.67
45,38,35.1,2,24,8,M,Bogotá,11329.74
61,23,33.7,1,11,5,F,Cali,7459.85
61,25,44.8,1,17,2,M,Bogotá,7227.79
37,16,28.7,2,2,5,M,Barranquilla,6993.28
47,6,42.9,5,11,1,F,Cali,8360.26
28,12,22.5,3,22,1,M,Medellín,8219.08
45,4,42.2,2,20,6,F,Barranquilla,5907.5
42,25,46.8,4,22,2,M,Barranquilla,10150.23
56,2,29.8,3,1,6,F,Barranquilla,6830.63
50,6,45.4,2,13,2,F,Cali,7900.24
18,38,40.4,4,13,1,F,Barranquilla,9595.13
44,0,52.8,4,3,3,M,Cali,6507.11
69,16,33.2,4,16,3,M,Bogotá,8979.93
30,24,62.5,3,14,2,F,Medellín,8990.34
58,2,20.9,4,15,8,M,Bogotá,8634.03
20,14,37.4,2,4,5,F,Barranquilla,5577.51
56,28,26.4,3,23,4,F,Cali,9670.06
23,31,54.8,5,16,5,F,Cali,10040.43
25,25,37.9,2,22,7,F,Bogotá,9993.44
44,15,38.6,4,6,4,F,Barranquilla,6788.7
26,24,43.5,3,22,3,F,Medellín,9227.21
54,27,40.0,1,14,6,F,Cali,10036.25
50,8,35.2,4,16,4,M,Cali,7490.71
68,0,29.9,2,11,3,M,Barranquilla,6927.91
59,28,41.3,3,10,4,M,Cali,9772.24
61,21,43.0,1,18,3,M,Barranquilla,8376.97
41,15,45.6,4,10,7,M,Barranquilla,9506.71
32,6,55.3,2,1,7,M,Medellín,5979.07
49,13,22.6,2,14,0,F,Barranquilla,7420.22
49,28,39.5,1,4,2,M,Bogotá,6083.03
41,18,49.5,4,17,3,F,Medellín,10858.74
58,18,39.0,3,20,1,M,Barranquilla,10224.8
69,1,21.3,3,20,4,F,Barranquilla,6540.73
66,14,29.7,3,15,7,M,Medellín,10353.44
66,2,42.6,3,3,1,M,Cali,5547.38
69,10,42.3,1,22,8,M,Medellín,10545.51
29,29,45.4,3,9,6,M,Cali,9813.1
56,39,33.8,2,21,5,M,Medellín,10177.27
